Title,Date
"Lucifer: Temporada 2: O controle do amor","11/01/2019"
"Lucifer: Temporada 2: Aeromoça interrompida","11/01/2019"
"Lucifer: Temporada 2: Maldita advogada","11/01/2019"
"Lucifer: Temporada 2: Destruidor de lares","10/01/2019"
"Lucifer: Temporada 2: A trilha das punhaladas","10/01/2019"
"Lucifer: Temporada 2: Arma pesada","10/01/2019"
"Lucifer: Temporada 2: Minha filha querida","10/01/2019"
"Lucifer: Temporada 2: Eu sou um monstro","10/01/2019"
"Black Mirror: Bandersnatch","06/01/2019"
"O Lagosta","06/01/2019"
"Toc Toc","05/01/2019"
"Bird Box","25/12/2018"
"A Próxima Pele","16/12/2018"
"Vikings: Temporada 5: Visões","13/12/2018"
"90 Minutos no Paraíso","11/12/2018"
"Nada a Esconder","11/12/2018"
"Um olhar do paraíso","29/11/2018"
"Uma Beleza Fantástica ","27/11/2018"
"The Late Bloomer","27/11/2018"
"Razão e Sensibilidade","26/11/2018"
"Histórias cruzadas","26/11/2018"
"Oeste sem Lei","25/11/2018"
"Drácula de Bram Stoker","04/11/2018"
"Madame Bovary","03/11/2018"
"A Colina Escarlate","30/10/2018"
"O Chefe","29/10/2018"
"Super 8","28/10/2018"
"The Watcher","28/10/2018"
"Um Contratempo","28/10/2018"
"R.I.P.D. agentes do além","23/10/2018"
"Até o Limite da Honra","23/10/2018"
"Eu Vi: Temporada 1: A lápide roubada","22/10/2018"
"Eu Vi: Temporada 1: Contaminação alienígena","22/10/2018"
"Eu Vi: Temporada 1: O espírito no escuro","22/10/2018"
"Eu Vi: Temporada 1: A mulher de branco","22/10/2018"
"Goosebumps: Monstros e Arrepios","21/10/2018"
"Wild Wild Country: Temporada 1: Parte 1","21/10/2018"
"Eu Vi: Temporada 1: O matadouro","20/10/2018"
"Sala Verde","20/10/2018"
"Godless: Minissérie: A mulheres de La Belle","19/10/2018"
"Godless: Minissérie: Aconteceu em Creede","18/10/2018"
"Juventudes Roubadas","14/10/2018"
"Segredo de Sangue","14/10/2018"
"O Trote","13/10/2018"
"A Intervenção","12/10/2018"
"Orphan Black: Temporada 1: Seleção natural","10/10/2018"
"Byzantium - Uma Vida Eterna","10/10/2018"
"Brooklyn","09/10/2018"
"Gente de Bem","09/10/2018"
"O Bosque: Temporada 1: Episódio 1","09/10/2018"
"Glitch: Temporada 2: A carta","08/10/2018"
"Glitch: Temporada 2: Feridos ambulantes","08/10/2018"
"Glitch: Temporada 2: Dever de cuidar","08/10/2018"
"Glitch: Temporada 2: Demasiado humano","05/10/2018"
"Glitch: Temporada 2: Duas verdades","05/10/2018"
"Glitch: Temporada 2: O pássaro raro","05/10/2018"
"Glitch: Temporada 1: Impasse","05/10/2018"
"Glitch: Temporada 1: Três é demais","05/10/2018"
"Glitch: Temporada 1: Foi assim que eu morri","04/10/2018"
"Glitch: Temporada 1: Milagre ou punição","04/10/2018"
"Glitch: Temporada 1: Será que estou no inferno?","04/10/2018"
"Glitch: Temporada 1: Os que foram e voltaram","04/10/2018"
"The Good Place: Temporada 1: O que Devemos Uns aos Outros","03/10/2018"
"The Good Place: Temporada 1: Crise de emergência do juízo final","03/10/2018"
"The Good Place: Temporada 1: Jason Mendoza","03/10/2018"
"The Good Place: Temporada 1: Tahani Al-Jamil","03/10/2018"
"The Good Place: Temporada 1: Voar","03/10/2018"
"The Good Place: Temporada 1: Tudo está bem","03/10/2018"
"Noite de Lobos","03/10/2018"
"O Que Fazemos nas Sombras","30/09/2018"
"Invasão Zumbi","30/09/2018"
"Maniac: Minissérie: O escolhido","28/09/2018"
"Incríveis  por  Dentro: Temporada 1: Espaço do Chicago Cubs, casa-aquário, o barco do amor","28/09/2018"
"Mountain","28/09/2018"
"Incríveis  por  Dentro: Temporada 1: Palácio Rosa, quarto-cachoeira, casa das artes","28/09/2018"
"Incríveis  por  Dentro: Temporada 1: Casa em ruínas, caverna hominídea, Casa do Nunca","28/09/2018"
"Incríveis  por  Dentro: Temporada 1: Duplex luxuoso, casa de gatos, casa do hóquei","28/09/2018"
"Ozark: Temporada 2: A arte de matar","25/09/2018"
"Ozark: Temporada 2: Uma única saída","25/09/2018"
"Ozark: Temporada 2: Nas trevas exteriores","24/09/2018"
"Ozark: Temporada 2: Cartas na mesa","24/09/2018"
"Ozark: Temporada 2: Por conta própria","23/09/2018"
"Ozark: Temporada 2: É da natureza dos Langmores","23/09/2018"
"Ozark: Temporada 2: O sangue sagrado de Jesus","23/09/2018"
"Ozark: Temporada 2: Reparações","23/09/2018"
"Ozark: Temporada 1: O preço","23/09/2018"
"Maçonaria - Segredos Revelados: Temporada 1: Episódio 5","21/09/2018"
